pancreatic cancer	21032	D010190
periampullary cancer	15278	D009369
metastases	2927	D009362
gemcitabine	2806	C056507
Pancreatic ductal adenocarcinoma	2064	D021441
cytotoxicity	1975	D064420
pancreatic carcinoma	1960	C562463
ductal adenocarcinoma	1644	D000230
fluorouracil	1055	D005472
Carcinoma	1005	D002277
PanIN lesions	958	D010182
breast cancer	892	D001943
diabetes	844	D003920
deaths	776	D003643
colorectal carcinomas	762	D015179
pain	725	D010146
gastric cancer	670	D013274
K-ras	615	3845
chronic pancreatitis	604	D050500
carcinogenesis	592	D063646
Colon cancer	575	D003110
p53	540	7157
gastrointestinal cancers	530	D005770
various diseases	518	D004194
cisplatin	442	D002945
lung cancer	423	D008175
tyrosine	420	CHEBI:18186
inflammation	416	D007249
aggressive	414	D001523
epidermal growth factor receptor	411	1956
carbohydrate	383	CHEBI:16646
alcohol	381	CHEBI:16236
melanoma	379	D008545
glucose	373	D005947
jaundice	365	D007565
necrosis	359	D009336
MTT	354	CHEBI:53233
hypoxia	340	D000860
neutropenia	338	D009503
gastrointestinal malignancies	327	D005767
autosomal dominant disease	324	D030342
cancer of the liver or gallbladder	322	D008113
ovarian and prostate tumor	319	D010051
erlotinib	311	C400278
diarrhoea	307	D003967
nausea	303	D009325
p16	297	1029
prostate cancers	290	D011471
fibrosis	286	D005355
abdominal pain	273	D015746
CEA	269	1048
weight loss	268	D015431
oxygen	263	D010100
insulin	261	3630
vascular endothelial growth factor-A	259	7422
intraductal papillary mucinous neoplasms	257	C565310
Obstructive jaundice	256	D041781
recurrence-free survival	249	D011475
Biliary obstruction	249	D001660
DPC4	248	4089
Bcl-2	248	596
thrombocytopenia	246	D013921
pancreatic malignancy	242	D010195
vomiting	239	D014839
hepatocellular carcinoma	239	D006528
non-small cell lung cancer	231	D002289
caspase-3	231	836
oxaliplatin	227	C030110
premalignant lesions	225	D001927
capecitabine	217	C110904
leucovorin	214	D002955
obesity	210	D009765
paclitaxel	208	D017239
E-cadherin	203	999
irinotecan	200	C051890
liver function abnormalities	196	D008107
cancer of the head of the pancreas	193	D006258
leukemia	188	D007938
cholangiocarcinoma	187	D018281
AKT	186	207
bleeding	178	D006470
CCND1	178	595
serine	177	CHEBI:17822
hepatic ischemia	176	D056486
p21	169	1026
doxorubicin	169	D004317
BRCA2	168	675
esophageal cancer	167	D004938
HER2	162	2064
hereditary pancreatitis	160	C537262
diagnosis of ductal cell carcinoma	159	D044584
mitomycin-C	157	D016685
cytoplasmic proteins	155	581
MUC1	155	4582
anemia	154	D000740
infection	151	D007239
matrix metalloproteinase-9	150	4318
somatostatin	148	D013004
amino-acid	147	CHEBI:33704
Interleukin-6	146	3569
anorexia	144	D000855
tumor necrosis factor alpha	143	7124
advanced disease	142	D020178
invasive growth	139	D006130
MMP-2	138	4313
renal cell carcinoma--15, lung cancer	137	D002292
hypoxia-inducible factor-1alpha	135	3091
lymphoid malignancies	134	D008223
gallbladder cancer	131	D005706
Stat3	131	6774
bile duct cancer	129	D001650
bladder cancer	127	D001749
postoperative complications	121	D011183
TGFbeta1	121	7040
Cox	121	1351
nucleoside	118	CHEBI:33838
calcium	118	D002118
beta-catenin	117	1499
K-ras	117	16653
docetaxel	116	C067311
bilirubin	114	D001663
N-nitrosobis(2-oxopropyl)amine	113	C013622
colonic, pancreatic and renal cancer	112	D007680
brain tumors	112	D001932
Bcl-xL	112	598
fever	111	D005334
cyclooxygenase-2	111	5743
cholecystokinin	111	D002766
cholangitis	111	D002761
interleukin-8	110	3576
thrombus	109	D013927
TNM	107	10178
steroid	106	CHEBI:35341
18FDG	106	D019788
fatigue	105	D005221
blood loss	105	D006473
poly (ADP-ribose)	104	D011064
CD44	104	960
platinum	103	D010984
anastomosis	102	C563598
rapamycin	101	D020123
hypertension	101	D006973
pancreatic fistula	100	D010185
adenoma	100	D000236
leukopenia	99	D007970
cachexia	99	D002100
mucin	98	100508689
papulopustular rash	97	D005076
Somatostatin	96	6750
paraffin	95	D010232
Erk	95	5594
thymidine	94	D013936
formalin	94	D005557
dysplasia	94	C535662
SCID	92	D053632
pancreatic fibrosis	91	D003550
fibrocystic breast disease, ovarian cancer	90	D061325
TRAIL	90	8743
