pancreatic cancer	22823	D010190
periampullary cancer	13302	D009369
pancreatic malignancy	9364	D010195
gemcitabine	2806	C056507
ductal adenocarcinoma	1544	D000230
survival of various malignancies	1279	D016609
enriches tumour	1260	D015275
colorectal cancer	1082	D015179
fluorouracil	1055	D005472
PANC-1	884	104066
Carcinoma	818	D002277
breast cancer	747	D001943
gastric cancer	677	D013274
familial PC	647	D015324
metastatic disease	602	C538219
brain tumors	506	D001932
Pancreatic ductal adenocarcinoma	506	D021441
liver cancer	444	D006528
cisplatin	442	D002945
solid tumors	431	D018250
tyrosine	420	CHEBI:18186
metastasis	413	D009362
p53	409	7157
gastrointestinal cancers	408	D005770
carbohydrate	383	CHEBI:16646
alcohol	381	CHEBI:16236
VEGF	380	7422
glucose	373	D005947
lung cancer	372	D008175
melanoma	365	D008545
PanIN lesions	361	D001768
EGFR	361	37455
Haematological toxicity	359	D056486
MTT	354	CHEBI:53233
endoscopic retrograde cholangiopancreatography	327	D012183
diabetes mellitus	312	D003920
erlotinib	311	C400278
MIA PaCa-2	307	117153
intraductal papillary mucinous neoplasm	305	D002288
various diseases	301	D004194
prostate cancer	298	D011471
CA19-9	294	768
advanced disease	279	D020178
NFkappaB	277	4790
CEA	273	1084
MEK/ERK	272	3354888
epidermal growth factor receptor	266	1956
oxygen	263	D010100
Hypoxia	263	D000860
TGFbeta	259	7040
KRAS oncogene	258	3845
neoplastic	251	D009386
NF-kappaB	237	18033
ovarian cancer	235	D010051
thrombocytopenia	234	D013921
p16	229	1029
Bcl-2	229	596
Akt	228	207
oxaliplatin	227	C030110
insulin	223	3630
capecitabine	217	C110904
Gastrointestinal Carcinomas	216	D005767
leucovorin	214	D002955
Extracellular signal-regulated kinase 1 2	214	5594
paclitaxel	208	D017239
non-small cell lung cancer	200	D002289
irinotecan	200	C051890
invasive carcinoma	191	D009361
GS	186	D011125
cholangiocarcinoma	184	D018281
E-cadherin	182	999
obesity	181	D009765
esophageal cancer	181	D004938
serine	177	CHEBI:17822
neutropenia	176	D009503
BxPC-3	176	7832
CP	172	D002547
Tumor necrosis	171	D009336
KRAS	170	373672
COX-2	170	814573
AsPC-1	170	101461873
doxorubicin	169	D004317
TNF-alpha	169	7124
MUC1	169	4582
BRCA-2-deficient	169	566758
PDA	167	D004374
IL-6	165	3569
MMP-9	163	4318
AIP	159	D017118
mitomycin-C	157	D016685
disease-free survival	156	D011475
leukemia	153	D007938
GEM	152	560566
inflammation and desmoplasia	151	D007249
aggressive tumors	151	D000013
EGFR	150	378478
somatostatin	148	D013004
gastric carcinoma	148	D013272
caspase-3	147	12367
amino-acid	147	CHEBI:33704
BxPC3	147	32846
define disease staging	145	D007676
ductal carcinoma	143	D044584
cholangitis	140	D002761
Bax	140	58081
tumor vascular endothelium	139	D014652
ERBB2	139	2064
tumor suppressor	138	7248
p21	136	1026
liver tumors	136	D008107
STAT3	136	6774
neuropathy	133	D003929
MMP-2	132	380389
neuroendocrine tumours	130	D018358
bladder cancer	129	D001749
anemia	128	D000740
Cyclin D1	128	595
CD44	128	960
rectal cancer	127	D012004
amylase	122	47764
progressive disease	121	D018450
oncogenic transforming growth factor beta	119	397778
genetic syndromes	119	D020022
nucleoside	118	CHEBI:33838
lymphoma	118	D008223
calcium	118	D002118
renal cell carcinoma	117	D002292
AIP	117	334795
docetaxel	116	C067311
mTOR	115	47396
hepatitis	115	D006505
SMAD4	115	30640
bilirubin	114	D001663
N-nitrosobis(2-oxopropyl)amine	113	C013622
EMT	112	3702
interferon-gamma	111	3458
cholecystokinin	111	D002766
biliary cancer	111	D001661
steroid	106	CHEBI:35341
chronic diarrhea	106	D003967
18FDG	106	D019788
poly (ADP-ribose)	104	D011064
Ki-67	104	17345
platinum	103	D010984
fibrosis	102	D005355
IgG	102	3502
rapamycin	101	D020123
poly-tyrosine kinase	100	7294
p-Akt	100	41957
gallbladder cancer	99	D005706
cancer cachexia	98	D002100
APC\/beta-catenin	98	380441
epidermal growth factor	97	1950
bile duct cancer	96	D001650
SD	96	D029461
paraffin	95	D010232
thymidine	94	D013936
formalin	94	D005557
anorexia	94	D000855
human albumin	93	213
benign mass lesion	92	C536030
PI3K	92	5294
F-FDG	92	23583
gastric cancer or head and neck cancer	91	D006258
p53	90	2768677
AKT	90	11651
trypsin	89	101896160
p38	89	24529706
nucleotide	89	CHEBI:36976
tumor-related symptoms	88	D009461
colon carcinoma	88	D003108
Ras	88	19700
MUC5AC	88	4586
p53	87	22059
hypoxic conditions	86	D002534
DPC4	86	4089
CCK-8	86	100007763
transforming growth factor	85	7039
renal cancer	85	D007680
growth factor	85	368715
adenoma	85	D000236
SCID	85	C537591
MMP	85	843353
CIs	85	1154
determine hazard ratios	84	D003643
cyclooxygenase-2	84	5743
curcumin	84	D003474
CD8	84	925
microscopic residual disease	83	D018365
cholesterol	83	D002784
Celiac arteriography	83	D002446
PSCs	82	107810
MEK	82	5609
IL8	82	3576
multiple myeloma	81	D009101
cationic trypsinogen	81	5644
TRAIL	81	8743
Vitamin D	80	D014807
PcG	80	40358
CXCR4	80	100192360
ATP	80	D000255
phosphatidylinositol	79	D010716
ethanol	79	D000431
PR	79	5241
CSCs	79	101212175
threonine	78	CHEBI:26986
RAS	78	19412
MS	77	D009103
lactate	75	D019344
invasive ductal carcinoma	75	D018270
glutathione	75	D005978
amino acids	75	CHEBI:33709
MUC4	75	4585
Bcl-xL	75	598
vimentin	74	7431
telomerase	74	7011
somatostatin	74	6750
Metformin	74	D008687
Kras	74	445289
peritonitis carcinomatosa	73	D010538
performance status	73	D013226
breast, ovarian, and some gastrointestinal carcinomas	73	D061325
Shh-Gli1	73	30269
Jun N terminal kinase	73	5599
CDKN2A	73	25163
superoxide	72	D013481
nasogastric sump tubes	71	D017562
BRCA-1	71	672
Aspc-1	71	68938
ROS	70	6098
NOTCH	70	25496
C-reactive protein	70	1401
3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide	70	C022616
retinoic acid	69	D014212
mucositis	69	D052016
hyperglycemia	69	D006943
p27	68	3429
cysteine	68	D003545
PANC	68	834942
advanced lymph node metastasis	67	D014388
PARP	67	142
thromboembolism	66	D013923
systemic disease	66	D009422
glucose-dependent metabolism	66	D044882
folate	66	D005492
epithelial ovarian cancer	66	C538090
Histone deacetylase	66	9759
nuclear factor-kappa B	65	41087
estrogen	65	D004967
epirubicin	65	D015251
bone/soft tissue sarcomas	65	D012509
IL-2	65	3558
CD4	65	920
squamous cell carcinoma	64	D002294
p21CIP1\/WAF1	64	12575
CMV-GFP	64	7011691
secretin	63	6343
collagen	63	3673
cervical cancer	63	D002583
c-Myc	63	4609
acinar cell carcinoma	63	D018267
Ca(2+)	63	CHEBI:29108
Bcl-2	63	100271914
5-Aza-2'-deoxycytidine	63	C014347
hematological malignancies	62	D019337
SMAD4	62	794669
DM	62	C538008
zinc	61	D015032
superoxide dismutase-1	61	39251
local tumor	61	D004828
Src	61	325084
total tumor	60	C535341
leukocytopenia	60	D007970
infrastructural abnormalities	60	D002869
glioblastoma	60	D005909
PI3K-AKT	60	10000
thrombosis	59	D013927
steroids	59	D013256
octreotide	59	D015282
VEGFR-2	58	3791
PARP	58	1302
CXCL8	58	100002946
propidium iodide	57	D011419
inherited familial cancer syndromes	57	C537712
fatty acid	57	CHEBI:35366
deoxycytidine	57	D003841
cystic fibrosis	57	D003550
anti-IGF-1R	57	3480
alkaline phosphatase	57	43671
BRCA2-deficient	57	D003677
tumor suppressor	56	368450
thyroid cancer	56	D013964
telomerase	56	373635
promoter-exon	56	2948441
gastrin	56	2520
extracellular signal-regulated kinase	56	26413
adult gliomas	56	D005910
Wnt	56	34009
Pancreatic cancer	56	284998
MRI	56	78996
Gli	56	2735
EGF	56	403045
interferon-alpha	55	3440
endometrial cancer	55	D016889
[(3)H]-thymidine	55	CHEBI:53526
Peutz-Jeghers syndrome	55	D010580
IGF-1	55	114433
protease	54	100616101
metalloproteinase	54	37949
grade dysplasia	54	D001254
fatty acids	54	D005227
elastase 1	53	1990
chronic stroma	53	D002908
acinar-ductal metaplasia	53	D008679
PD98059	53	C093973
gallbladder, pancreas	52	D005705
NADPH	52	D009249
renal failure	51	D051437
phosphorylated ERK 1\/2	51	5595
intra-abdominal cancers	51	D059413
integrin	51	32661
etoposide	51	D005047
PCNA	51	30678
Diagnostic laparoscopy	51	D005119
AsPC-1	51	101462403
vascular endothelial growth factor receptor	50	34127
pRB	50	5925
nitric oxide	50	D009569
miR-21	50	406991
fibronectin	50	2335
epithelial neoplasm	50	D009375
c-MYC	50	30686
arginine	50	CHEBI:29016
U0126	50	C113580
PDX1	50	3651
Cowden syndrome	50	D006223
CEA	50	111518
CA 50	50	36523
stroma density	49	C538394
polymerase	49	100616102
high-grade dysplasia	49	D008228
bortezomib	49	C400082
aspirin	49	D001241
N-acetyl cysteine	49	D000111
ribonucleotide	48	CHEBI:26561
p53 gene	48	24150
hyperplasias	48	D006965
hENT1	48	2030
basic fibroblast growth factor	48	2247
MIA	48	40667
MEK\/ERK1\/2-dependent	48	31872
HP	48	C537262
HIF1	48	3091
CD133	48	8842
mcl-1	47	4170
loss and jaundice	47	D007565
insulin	47	378696
human PSC	47	100653366
cdk2	47	1017
